objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Dolores","194523","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390288","5.78257","6.19618","1.3333","3921","2325","thing","HMS Dolores","2","4","20","20","10","2016","3,4","3","","No necessary in-game text","","","","","","standalone","","Asmodee; Lui-même","German","2016","German edition"
"Dominion","36218","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247604","7.50439","7.61426","2.3557","101","103969","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion: Alchemy","66098","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247653","6.66088","6.93534","2.4604","0","18224","thing","Dominion: Alchemy","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Dominion: Blütezeit","66690","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247610","7.91365","8.2462","2.4877","0","29117","thing","Dominion: Prosperity","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","Hans im Glück","German","2010","Hans im Glück German first edition"
"Dominion: Dark Ages","125403","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247621","7.40744","8.01293","2.736","0","14562","thing","Dominion: Dark Ages","2","4","30","30","30","2012","2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Dominion: Die Gilden","137166","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247651","6.9894","7.88144","2.5278","0","8504","thing","Dominion: Guilds","2","4","30","30","30","2013","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Rio Grande Games","German","2013","German edition"
"Dominion: Hinterland","104557","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247628","7.38088","7.95442","2.5512","0","14769","thing","Dominion: Hinterlands","2","4","30","30","30","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Dominion: Intrige","40834","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247647","7.56131","7.71426","2.4209","90","44303","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion: Nocturne","232452","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64951652","6.35366","7.91203","3.1765","0","3475","thing","Dominion: Nocturne","2","6","30","30","30","2018","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","ASS Altenburger Spielkarten; Rio Grande Games","German","2018","German edition"
"Dominion: Reiche Ernte","90850","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247633","7.17303","7.69364","2.406","0","13755","thing","Dominion: Cornucopia","2","4","30","30","30","2011","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Dominion: Seaside","51811","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247617","7.74588","8.03766","2.4977","0","30320","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Hans im Glück","German","2009","German first edition"
"Don't Break the Ice","4888","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","74200302","5.17042","4.74305","1.141","20917","1574","thing","Don't Break the Ice","2","4","20","20","20","1968","2,3,4","2","3–12","No necessary in-game text","","","","","","standalone","","","","",""
"Doodle Dice","23334","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249524","5.50511","5.58314","1.0588","16551","954","thing","Doodle Dice","2","6","30","30","20","2006","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Drachen Wurf","34696","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248477","5.55917","5.90051","1.1923","9396","463","thing","Drachen Wurf","2","6","30","30","30","2008","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dragonwood","172933","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","67960684","6.21065","6.66968","1.3924","1715","7831","thing","Dragonwood","2","4","20","20","20","2015","2,3,4","3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Drakon (Fourth Edition)","171630","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65816440","5.86352","6.54901","1.4828","3239","1824","thing","Drakon (Fourth Edition)","2","6","60","60","20","2015","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Druids","232417","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249149","5.63624","6.39722","0","6113","680","thing","Druids","3","5","45","45","45","2017","3,4,5","","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dungeon Mayhem","260300","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65745858","6.18501","7.0076","0","1792","4636","thing","Dungeon Mayhem","2","4","10","10","10","2018","2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Dungeonville","13285","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248790","5.39928","4.87232","1.4","20706","660","thing","Dungeonville","2","5","60","60","60","2004","3,4,5","4,5","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Einfach Genial: Reiseedition","22484","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248523","6.36179","7.09329","1.8509","1309","2744","thing","Ingenious: Travel Edition","2","2","30","30","30","2006","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"El Moondo","408","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248504","5.4914","5.48853","1.5714","18331","927","thing","Zoon","2","2","30","30","30","2000","2","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","AMIGO","German","2000","Amigo Europa edition"
"Eldritch Horror","146021","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249046","7.56366","7.79629","3.3186","87","44802","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Elfer raus!","2086","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248463","5.39869","5.17563","1.0909","20708","1341","thing","Elfer raus!","2","6","30","30","30","1925","3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Elysium","163968","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390127","6.94576","7.22505","2.7557","447","12449","thing","Elysium","2","4","60","60","60","2015","2,3,4","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Encore!","206931","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70202369","6.52187","7.01953","1.1406","1004","6422","thing","Encore!","1","6","20","20","20","2016","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Epic PVP: Fantasy","168770","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247756","5.73816","6.43907","0","4397","1980","thing","Epic PVP: Fantasy","2","4","20","20","20","2015","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Epic PVP: Fantasy Expansion 1","192348","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247767","5.5933","6.71689","2","0","807","thing","Epic PVP: Fantasy Expansion 1","2","4","15","15","15","2015","2","2","","","","","","","","expansion","","","","",""
"Epic PVP: Fantasy Expansion 2","195400","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247773","5.58282","6.75543","2.5","0","704","thing","Epic PVP: Fantasy Expansion 2","0","0","0","0","0","2016","","","","","","","","","","expansion","","","","",""
"Episches Munchkin","27767","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248131","5.49718","5.5119","0","0","148","thing","Episches Munchkin","2","6","30","30","30","2007","2,4","4","12+","","","","","","","expansion","","","","",""
"Exploding Kittens: NSFW Deck","172242","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","64249256","5.96185","6.22607","1.0753","2664","21817","thing","Exploding Kittens: NSFW Deck","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"A Fake Artist Goes to New York","135779","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74948335","6.75519","7.16847","1.1573","659","9000","thing","A Fake Artist Goes to New York","5","10","20","20","20","2012","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Forbidden Island","65244","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247836","6.69404","6.78806","1.7397","741","74854","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Frantic","184287","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249260","5.61549","6.62181","1.9091","6668","551","thing","Frantic","2","8","45","45","5","2015","3,4,5,6","4,5,6","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Frantic Troublemaker Add-On","226162","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249263","0","7.76667","1","0","162","thing","Frantic Troublemaker Add-On","2","8","45","45","5","2017","3,4,5,6,7,8","4,5,6","","","","","","","","expansion","","","","",""
"Frantic: Supercharge Add-On","291980","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74348835","0","7.88889","0","0","86","thing","Frantic: Supercharge Add-On","2","8","45","45","5","2019","3,4,5,6,7,8","4,5","","","","","","","","expansion","","","","",""
"Galaxy Trucker","31481","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248896","7.277","7.39828","2.3253","200","33534","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Galaxy Trucker: Missionen","182027","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248915","6.00545","8.00586","2.6667","0","2754","thing","Galaxy Trucker: Missions","2","5","60","60","60","2015","","","","Unplayable in another language","","","","","","expansion","","","","",""
"Galaxy Trucker: Noch eine große Erweiterung","97845","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248904","6.5068","8.07151","0","0","3905","thing","Galaxy Trucker: Another Big Expansion","2","5","90","90","60","2012","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Galloping Pigs","485","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248330","5.59689","5.77137","1.1429","7362","1594","thing","Galloping Pigs","2","5","30","30","30","1992","3,4,5","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Game of Quotes: Verrückte Zitate","218824","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249226","5.54746","5.82021","1.2857","10386","642","thing","Game of Quotes: Verrückte Zitate","3","6","30","30","30","2017","3,4,5,6","4,5,6","16+","Unplayable in another language","","","","","","standalone","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74348797","7.38803","7.593","3.7197","143","39807","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Gargon","2542","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249363","5.65753","6.00994","1.7463","5616","1339","thing","Gargon","3","5","45","45","45","2001","4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Gas Out","193592","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","69052218","5.46649","4.8846","1","19902","195","thing","Gas Out","2","6","15","0","15","2016","2,3,4,5,6","4,5,6","5+","","","","","","","standalone","","","","",""
"Einer geht noch!","298147","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","74367185","5.52605","7.02667","2","13174","69","thing","Einer geht noch!","2","5","20","20","20","2020","3,4,5","4,5","","","","","","","","standalone","","","","",""
"Geistertreppe: Das Kartenspiel","80296","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248374","5.50941","5.67565","0","15880","250","thing","Geistertreppe: Das Kartenspiel","2","5","10","10","10","2010","2,3,4","4","4","No necessary in-game text","","","","","","standalone","","","","",""
"Greedy Greedy Goblins","184919","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69810954","5.67985","6.31125","0","5223","1096","thing","Greedy Greedy Goblins","2","4","35","35","25","2016","3,4","3","12","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Grimoria","73863","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247807","5.90843","6.41663","1.8617","2933","2240","thing","Grimoire","2","5","30","30","30","2010","3,4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Halli Galli","2944","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249845","5.65382","5.79994","1.0176","5689","4289","thing","Halli Galli","2","6","10","10","10","1990","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Hanabi","98778","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249357","6.98161","7.07883","1.6997","410","65774","thing","Hanabi","2","5","25","25","25","2012","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE","German","2012","German first edition"
"Heaven & Ale","227789","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247034","7.15497","7.57127","3.2405","274","9284","thing","Heaven & Ale","2","4","90","90","60","2017","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Heckmeck am Bratwurmeck","15818","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249294","6.3796","6.56164","1.152","1270","13914","thing","Pickomino","2","7","20","20","20","2005","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Heckmeck Deluxe","245200","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75383020","5.79304","7.11871","1.1429","0","929","thing","Heckmeck Deluxe","2","7","30","30","30","2018","2,3,4,5,6","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Der Herr der Ringe: Die Zwei Türme","4983","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247241","5.51615","5.78992","1.8125","14734","265","thing","Der Herr der Ringe: Die Zwei Türme","2","4","60","60","60","2002","2,3,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"HexRoller","267568","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70202378","5.7077","6.29408","0","4789","1080","thing","HexRoller","1","8","15","15","10","2019","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Hey, Danke für den Fisch!","8203","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248766","6.59692","6.70259","1.4549","881","25178","thing","Hey, That's My Fish!","2","4","20","20","20","2003","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"High Bohn","913","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249426","5.69947","6.61964","0","0","1380","thing","High Bohn","3","5","45","45","45","2000","3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Hol's der Geier","175","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248781","6.0362","6.47412","1.1724","2306","3244","thing","What the Heck?","2","5","20","20","20","1988","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Hot Dog","2563","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248354","5.50225","5.59255","0","16996","187","thing","Hot Dog","2","5","45","45","45","1996","3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"I.Q. 2000","8983","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247587","5.39156","4.84222","1.6667","20733","553","thing","I.Q. 2000","2","6","90","90","90","1984","2,3,4,5","3,4","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Igels: Das Kartenspiel","19508","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249606","5.43866","5.03527","1.7391","20467","882","thing","Igels: Das Kartenspiel","3","4","60","60","60","2005","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Im Wandel der Zeiten: Das Kartenspiel","211323","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247113","5.6414","6.30648","2.2857","0","947","thing","Im Wandel der Zeiten: Das Kartenspiel","2","4","60","60","45","2016","2,3,4","","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Im Wandel der Zeiten: Das Würfelspiel – Eisenzeit","150926","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247129","5.97516","6.62856","2.2222","2593","2392","thing","Roll Through the Ages: The Iron Age","1","4","60","60","40","2014","1,2,3,4","","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Im Wandel der Zeiten: Eine Geschichte der Zivilisation","25613","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247123","7.69208","7.91098","4.1758","55","17515","thing","Through the Ages: A Story of Civilization","2","4","120","120","120","2006","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Immortals","226562","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73310288","5.61754","6.42602","3.3333","6624","836","thing","Immortals","3","5","150","150","120","2017","3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Impact: Battle of Elements","246228","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66340375","5.883","6.6796","0","3098","1476","thing","Impact: Battle of Elements","2","5","15","15","15","2018","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Imperial Settlers","154203","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73310304","7.22839","7.39642","2.7688","227","29060","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"La Isla Bohnitâ","453","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249439","5.60269","5.82999","0","0","2617","thing","La Isla Bohnitâ","2","7","90","90","90","1998","3,4,5","4","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Isle of Skye: Vom Häuptling zum König","176494","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247826","7.27014","7.42682","2.2492","205","27571","thing","Isle of Skye: From Chieftain to King","2","5","50","50","30","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Jenga","2452","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249793","5.54473","5.60883","1.1148","10676","21573","thing","Jenga","1","8","20","20","20","1983","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Jolly Roger: Klar zum Entern!","165959","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390300","5.6291","6.31827","0","6284","822","thing","Jolly Roger: The Game of Piracy & Mutiny","4","10","30","30","30","2015","5,6,7,8,9,10","7,10","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Ares Games; Heidelberger Spieleverlag","German","2015","German edition"
"Junta","242","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","65530861","6.36674","6.6938","0","1298","8682","thing","Junta","2","7","240","240","240","2013","5,6,7","7","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Pegasus Spiele","German","2013","Pegasus German edition 2013"
"Just One","254640","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66618800","7.35903","7.60764","1.0502","160","21798","thing","Just One","3","7","20","20","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Kakerlakenpoker","11971","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66711900","6.51732","6.73178","1.1175","1012","14779","thing","Cockroach Poker","2","6","20","20","20","2004","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","Drei Magier Spiele","Dutch; English; French; German; Italian; Korean","2004","Multilingual first edition"
"Kakerlakensalat","32341","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249573","5.89071","6.15773","0","3041","4828","thing","Cockroach Salad","2","6","20","20","10","2007","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Kakerlakensuppe","38391","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249563","5.71108","6.15693","0","4737","1993","thing","Kakerlakensuppe","2","6","20","20","10","2008","3,4,5,6","6","6–12","No necessary in-game text","","","","","","standalone","","","","",""
"Kakerlakentanz","153077","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74367139","5.50812","5.68519","0","16097","280","thing","Kakerlakentanz","2","6","20","20","10","2014","","","","","","","","","","standalone","","","","",""
"Kampf gegen das Spiessertum","238221","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","74948340","5.5793","7.15411","1","8160","223","thing","Kampf gegen das Spiessertum","3","10","500","500","30","2017","4,5,6,7","6","16+","Unplayable in another language","","","","","","standalone","","","","",""
"Kanzler-Schlacht","96060","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66840579","0","4.33333","0","0","22","thing","Kanzler-Schlacht","3","6","60","60","45","1986","","","","","","","","","","standalone","","","","",""
"Karate Tomate","257962","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71811031","5.54845","6.11778","0","10277","197","thing","Karate Tomate","3","10","20","20","20","2018","4,5,6,7,8,9,10","6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Keltis: Der Weg der Steine Mitbringspiel","41003","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248595","5.8956","6.44098","1.2621","3013","1827","thing","Keltis: Der Weg der Steine Mitbringspiel","2","4","15","15","15","2009","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Kill Doctor Lucky","257","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248945","5.97351","6.15494","1.6473","2607","10859","thing","Kill Doctor Lucky","3","8","45","45","45","1996","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"King of the Dice","235922","0","","0","1","0","0","0","0","0","0","0","3","","","","","","77751655","5.93719","6.82518","1.05","2796","1729","thing","King of the Dice","2","5","30","30","20","2017","2,3,4,5","3,4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Kingdom Builder","107529","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247075","6.82964","6.96328","2.0636","562","25269","thing","Kingdom Builder","2","4","45","45","45","2011","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Kingdom Builder: Nomads","117793","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247083","6.55436","7.34957","2.2605","0","6894","thing","Kingdom Builder: Nomads","2","5","45","45","45","2012","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Kingdomino","204583","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247340","7.22891","7.35367","1.2123","226","57122","thing","Kingdomino","2","4","15","15","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Kings & Things","58","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247327","5.97598","6.50801","2.6437","2588","3366","thing","Kings & Things","2","4","120","120","120","1986","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Knaster","270677","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200321","5.57483","6.45348","1","8428","308","thing","Knaster","1","99","15","15","15","2019","1,2,3,4,5,6,7,8","","8+","","","","","","","standalone","","","","",""
"Kuba","30380","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","64951629","6.83581","7.14017","3.2629","556","8379","thing","Cuba","2","5","120","120","75","2007","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Kuh & Co.","12291","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248581","5.51471","5.68559","1.15","14984","449","thing","Animal Party","2","6","10","10","10","2004","2,3,4,5,6","4","3–6","No necessary in-game text","","","","","","standalone","","","","",""
"L.A.M.A.","266083","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","66198055","6.2059","6.50364","1.0439","1732","7225","thing","L.L.A.M.A.","2","6","20","20","20","2019","2,3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2019","German second edition"
"L.A.M.A. Dice","325853","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","79823660","5.55367","6.49426","1.4","9806","274","thing","L.A.M.A. Dice","2","6","20","20","20","2021","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Labyrinth: Das Kartenspiel","533","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248575","5.51956","5.5693","1.2256","14170","3244","thing","Labyrinth: The Card Game","2","6","30","30","30","2000","2,3,4,5,6","2,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Lift it!","132497","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","68433773","5.74069","6.2187","1.2812","4362","1584","thing","Lift it!","1","8","30","30","30","2012","2,3,4,5,6,7,8","2,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Ligretto","943","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249210","5.91351","6.17423","1.1844","2909","6871","thing","Ligretto","2","4","10","10","10","1988","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Looping Louie","327","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247424","6.55272","6.77044","0","953","10651","thing","Loopin' Louie","2","4","10","10","10","1992","2,4","4","4+","No necessary in-game text","","","","","","standalone","","","","",""
"Lords of Xidit","156566","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247282","6.74532","7.12929","2.6209","671","8614","thing","Lords of Xidit","3","5","90","90","90","2014","4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Love Letter Big Box","196326","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248795","6.90499","7.46227","0","496","8219","thing","Love Letter Premium","2","8","30","30","20","2016","3,4,5,6,7,8","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Lovecraft Letter","198740","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65745873","6.61922","7.23608","1.4828","850","5958","thing","Lovecraft Letter","2","6","15","15","5","2017","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mafia de Cuba","176558","0","","0","1","0","0","0","0","0","0","0","3","","","","","","67852069","6.22736","6.56466","1.4937","1656","6755","thing","Mafia de Cuba","6","12","20","20","10","2015","6,7,8,9,10,11,12","8,9,10","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Mag Blast (3. Edition)","23142","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248920","5.76429","6.01545","1.5607","4096","2807","thing","Mag·Blast (Third Edition)","2","8","20","20","20","2006","2,3,4,5,6","","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mage Wars Academy","172503","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247736","6.18477","7.20677","3.0345","1794","3572","thing","Mage Wars Academy","2","2","30","30","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
